DataBase,Network,ClimateZoneType,AirportType,InspectionID,BranchName,InspectionDate,SectionName,SectionID,Surface,Rank,ConstructionInspection,PCI,ConstructionDate,Age,PatchingDate,HasSamples
vphl,PHILADELPHIA INTL AIRPORT,,,523,RW17,2021-04-01 00:00:00,60,330,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,531,RW17,2021-04-01 00:00:00,05R,421,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,535,RW9R,2019-01-01 00:00:00,50L,21,AC,P,True,100,2019-01-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,553,RW9L,2021-04-12 00:00:00,20R,416,AAC,P,False,74,2012-06-01 00:00:00,9,,10
vphl,PHILADELPHIA INTL AIRPORT,,,559,RW17,2017-11-13 00:00:00,05,368,AAC,P,False,82,2009-01-01 00:00:00,8,,2
vphl,PHILADELPHIA INTL AIRPORT,,,564,RW9R,2017-11-13 00:00:00,20LC,235,AC,P,False,52,2010-06-01 00:00:00,7,,5
vphl,PHILADELPHIA INTL AIRPORT,,,567,RW17,2021-04-01 00:00:00,20R,459,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,568,RW8,2021-04-12 00:00:00,10C,265,AC,S,False,100,2021-04-11 00:00:00,0,,5
vphl,PHILADELPHIA INTL AIRPORT,,,574,RW17,2021-04-12 00:00:00,42,297,AAC,P,False,100,2021-04-11 00:00:00,0,,2
vphl,PHILADELPHIA INTL AIRPORT,,,580,RW17,2021-04-12 00:00:00,40R,292,AAC,P,False,100,2021-04-11 00:00:00,0,,5
vphl,PHILADELPHIA INTL AIRPORT,,,581,RW17,2017-11-13 00:00:00,20,378,AAC,P,False,36,2003-01-01 00:00:00,14,,5
vphl,PHILADELPHIA INTL AIRPORT,,,605,RW9R,2021-04-12 00:00:00,50R,34,AC,P,False,79,2018-06-01 00:00:00,3,,4
vphl,PHILADELPHIA INTL AIRPORT,,,627,RW17,2021-04-12 00:00:00,30R,284,AAC,P,False,100,2021-04-11 00:00:00,0,,6
vphl,PHILADELPHIA INTL AIRPORT,,,631,RW17,2021-04-12 00:00:00,10R,250,AAC,P,False,100,2021-04-11 00:00:00,0,,4
vphl,PHILADELPHIA INTL AIRPORT,,,632,RW17,2021-04-12 00:00:00,50R,268,AAC,P,False,74,2009-07-19 00:00:00,12,,3
vphl,PHILADELPHIA INTL AIRPORT,,,637,RW17,2021-04-12 00:00:00,10L,386,AAC,P,False,100,2021-04-11 00:00:00,0,,4
vphl,PHILADELPHIA INTL AIRPORT,,,638,RW8,2021-04-12 00:00:00,30R,369,AC,S,False,72,2008-08-16 00:00:00,13,2021-04-01 00:00:00,10
vphl,PHILADELPHIA INTL AIRPORT,,,644,RW9R,2021-04-12 00:00:00,60L,207,AC,P,False,91,2019-04-10 00:00:00,2,,6
vphl,PHILADELPHIA INTL AIRPORT,,,645,RW17,2017-11-13 00:00:00,10R,250,AAC,P,False,69,2003-01-01 00:00:00,14,,2
vphl,PHILADELPHIA INTL AIRPORT,,,650,RW9R,2021-04-12 00:00:00,60RC,174,AC,P,False,91,2019-04-10 00:00:00,2,,6
vphl,PHILADELPHIA INTL AIRPORT,,,203,RW17,2011-07-04 00:00:00,44R,515,AAC,P,True,100,2011-07-04 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,206,RW17,2021-04-01 00:00:00,05,368,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,212,RW8,2021-04-01 00:00:00,20L,210,AC,S,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,216,RW9R,2021-04-12 00:00:00,30L,273,AC,P,False,64,2010-06-01 00:00:00,11,,17
vphl,PHILADELPHIA INTL AIRPORT,,,221,RW17,2021-04-12 00:00:00,40L,272,AAC,P,False,100,2021-04-11 00:00:00,0,,5
vphl,PHILADELPHIA INTL AIRPORT,,,230,RW9R,2021-04-12 00:00:00,50RC,212,AC,P,False,87,2018-06-01 00:00:00,3,,4
vphl,PHILADELPHIA INTL AIRPORT,,,707,RW17,2021-04-11 00:00:00,42,297,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,715,RW9R,2017-11-13 00:00:00,40L,354,AC,P,False,74,2010-06-01 00:00:00,7,,3
vphl,PHILADELPHIA INTL AIRPORT,,,721,RW9L,2017-11-13 00:00:00,30L,410,AAC,P,False,88,2014-08-17 00:00:00,3,,7
vphl,PHILADELPHIA INTL AIRPORT,,,722,RW8,1999-06-01 00:00:00,20R,111,AC,S,True,100,1999-06-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,730,RW9R,2021-04-12 00:00:00,10RC,358,AC,P,False,49,2010-06-01 00:00:00,11,,5
vphl,PHILADELPHIA INTL AIRPORT,,,735,RW9L,2012-06-02 00:00:00,40R,417,AAC,P,True,100,2012-06-02 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,740,RW8,2017-11-13 00:00:00,40L,419,AC,S,False,60,2006-05-22 00:00:00,11,,3
vphl,PHILADELPHIA INTL AIRPORT,,,746,RW17,2021-04-01 00:00:00,42,297,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,777,RW17,2021-04-11 00:00:00,20R,459,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,785,RW9R,2018-06-01 00:00:00,60RC,174,AC,P,True,100,2018-06-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,797,RW17,2017-11-13 00:00:00,30,463,AAC,P,False,35,2003-01-01 00:00:00,14,,4
vphl,PHILADELPHIA INTL AIRPORT,,,801,RW8,2021-04-12 00:00:00,20C,477,AC,S,False,100,2021-04-11 00:00:00,0,,12
vphl,PHILADELPHIA INTL AIRPORT,,,806,RW17,2017-11-13 00:00:00,42L,448,AAC,P,False,25,1994-01-01 00:00:00,23,,2
vphl,PHILADELPHIA INTL AIRPORT,,,812,RW8,2017-11-13 00:00:00,20C,477,AC,S,False,52,1999-06-01 00:00:00,18,,23
vphl,PHILADELPHIA INTL AIRPORT,,,819,RW17,2017-11-13 00:00:00,10,285,AAC,P,False,39,2003-01-01 00:00:00,14,,4
vphl,PHILADELPHIA INTL AIRPORT,,,823,RW9R,2021-04-12 00:00:00,60R,199,AC,P,False,92,2019-07-13 00:00:00,2,,6
vphl,PHILADELPHIA INTL AIRPORT,,,824,RW9R,2021-04-12 00:00:00,20R,236,AC,P,False,64,2010-06-01 00:00:00,11,,6
vphl,PHILADELPHIA INTL AIRPORT,,,827,RW17,2017-11-13 00:00:00,50,403,AAC,P,False,74,2003-01-01 00:00:00,14,,1
vphl,PHILADELPHIA INTL AIRPORT,,,844,RW8,2017-11-13 00:00:00,10C,265,AC,S,False,55,1999-06-01 00:00:00,18,,3
vphl,PHILADELPHIA INTL AIRPORT,,,849,RW17,2021-04-11 00:00:00,10R,250,AAC,P,True,100,2021-04-11 00:00:00,0,,0
